lemma,rank,lForm,pos,core_pmw
過ごす,1329,スゴス,動詞,57.38
デザイン,1329,デザイン,名詞,110.21
当然,1331,トウゼン,形状詞,48.27
重い,1332,オモイ,形容詞,72.86
社長,1333,シャチョウ,名詞,179.43
夫婦,1334,フウフ,名詞,80.15
一杯,1335,イッパイ,名詞,44.63
手紙,1336,テガミ,名詞,42.81
機械,1337,キカイ,名詞,82.88
一定,1338,イッテイ,名詞,66.49
層,1339,ソウ,名詞,87.44
指,1340,ユビ,名詞,30.97
用意,1341,ヨウイ,名詞,61.93
要する,1342,ヨウスル,動詞,53.74
下りる,1343,オリル,動詞,60.11
ボール,1344,ボール,名詞,66.49
近付く,1345,チカヅク,動詞,38.25
泣く,1346,ナク,動詞,47.36
剤,1347,ザイ,接尾辞,91.99
付き,1348,ツキ,接尾辞,101.1
集団,1349,シュウダン,名詞,71.04
果たす,1350,ハタス,動詞,85.62
箇所,1351,カショ,名詞,107.47
取得,1352,シュトク,名詞,79.24
空間,1353,クウカン,名詞,98.37
猫,1354,ネコ,名詞,66.49
広がる,1354,ヒロガル,動詞,97.46
宜しく,1356,ヨロシク,副詞,63.76
秋,1357,アキ,名詞,66.49
低下,1358,テイカ,名詞,86.53
安心,1359,アンシン,名詞,83.79
界,1360,カイ,接尾辞,77.42
設備,1360,セツビ,名詞,113.85
届く,1360,トドク,動詞,66.49
い,1363,イ,助詞,18.22
飛ぶ,1364,トブ,動詞,56.47
想像,1365,ソウゾウ,名詞,51.0
選挙,1366,センキョ,名詞,141.17
印象,1367,インショウ,名詞,80.15
突然,1368,トツゼン,副詞,46.45
宗教,1369,シュウキョウ,名詞,27.32
クラブ,1370,クラブ,名詞,102.01
周辺,1371,シュウヘン,名詞,81.97
父親,1372,チチオヤ,名詞,52.83
現場,1373,ゲンバ,名詞,154.84
明るい,1374,アカルイ,形容詞,51.0
教授,1375,キョウジュ,名詞,202.2
感覚,1376,カンカク,名詞,55.56
野菜,1376,ヤサイ,名詞,68.31
押さえる,1378,オサエル,動詞,64.67
壁,1379,カベ,名詞,58.29
若しくは,1380,モシクワ,接続詞,40.08
流れ,1381,ナガレ,名詞,60.11
落札,1382,ラクサツ,名詞,73.77
比,1383,ヒ,名詞,163.03
主,1384,シュ,名詞,56.47
集まる,1385,アツマル,動詞,83.79
所有,1386,ショユウ,名詞,59.2
見詰める,1387,ミツメル,動詞,29.15
練習,1388,レンシュウ,名詞,78.33
集める,1389,アツメル,動詞,88.35
従来,1389,ジュウライ,名詞,70.13
貿易,1391,ボウエキ,名詞,66.49
困難,1392,コンナン,名詞,77.42
値,1393,チ,接尾辞,44.63
本来,1394,ホンライ,名詞,61.02
有する,1394,ユウスル,動詞,79.24
関心,1396,カンシン,名詞,76.51
航空,1396,コウクウ,名詞,64.67
実験,1396,ジッケン,名詞,75.6
注目,1399,チュウモク,名詞,73.77
作用,1400,サヨウ,名詞,36.43
下,1401,カ,接尾辞,50.09
実行,1402,ジッコウ,名詞,59.2
後ろ,1403,ウシロ,名詞,34.61
代わり,1404,カワリ,名詞,42.81
命,1405,イノチ,名詞,90.17
雪,1406,ユキ,名詞,41.9
止まる,1407,トマル,動詞,46.45
記載,1408,キサイ,名詞,30.97
メーカー,1409,メーカー,名詞,88.35
他人,1410,タニン,名詞,51.0
図書,1411,トショ,名詞,32.79
充実,1412,ジュウジツ,名詞,133.89
制限,1413,セイゲン,名詞,76.51
感情,1414,カンジョウ,名詞,46.45
脳,1415,ノウ,名詞,63.76
教室,1416,キョウシツ,名詞,37.34
公開,1417,コウカイ,名詞,99.28
癌,1418,ガン,名詞,73.77
張る,1419,ハル,動詞,57.38
グラム,1420,グラム,名詞,77.42
船,1421,フネ,名詞,102.92
茶,1422,チャ,名詞,40.08
交流,1423,コウリュウ,名詞,110.21
血,1424,チ,名詞,27.32
喜ぶ,1424,ヨロコブ,動詞,61.93
批判,1426,ヒハン,名詞,99.28
ファン,1427,ファン,名詞,72.86
違反,1428,イハン,名詞,108.39
犯罪,1428,ハンザイ,名詞,102.01
電子,1430,デンシ,名詞,85.62
番組,1430,バングミ,名詞,98.37
核,1432,カク,名詞,170.32
小説,1433,ショウセツ,名詞,102.01
半分,1433,ハンブン,名詞,80.15
記念,1435,キネン,名詞,86.53
答え,1436,コタエ,名詞,38.25
版,1437,ハン,名詞,70.13
財産,1438,ザイサン,名詞,40.08
募集,1439,ボシュウ,名詞,31.88
初,1440,ハツ,名詞,146.64
子,1441,シ,接尾辞,39.16
女子,1442,ジョシ,名詞,113.85
厚生,1443,コウセイ,名詞,87.44
捨てる,1444,ステル,動詞,71.04
証明,1445,ショウメイ,名詞,30.06
協議,1446,キョウギ,名詞,143.91
袋,1447,フクロ,名詞,61.93
日常,1448,ニチジョウ,名詞,66.49
態度,1449,タイド,名詞,44.63
五,1450,イツ,名詞,71.95
インターネット,1451,インターネット,名詞,221.32
旧,1452,キュウ,名詞,102.01
対,1453,タイ,名詞,90.17
画面,1454,ガメン,名詞,37.34
そんな,1455,ソンナ,形状詞,40.99
相,1456,アイ,接頭辞,77.42
返す,1457,カエス,動詞,55.56
処分,1457,ショブン,名詞,79.24
訓練,1459,クンレン,名詞,116.58
丁度,1460,チョウド,副詞,33.7
きちんと,1461,キチント,副詞,53.74
採用,1462,サイヨウ,名詞,77.42
師,1463,シ,接尾辞,51.92
協会,1464,キョウカイ,名詞,80.15
女の子,1465,オンナノコ,名詞,45.54
多数,1466,タスウ,名詞,62.85
運ぶ,1467,ハコブ,動詞,70.13
誕生,1468,タンジョウ,名詞,67.4
前年,1469,ゼンネン,名詞,153.93
症状,1470,ショウジョウ,名詞,37.34
愛する,1471,アイスル,動詞,44.63
資源,1472,シゲン,名詞,102.01
会計,1473,カイケイ,名詞,67.4
運営,1474,ウンエイ,名詞,91.99
独立,1475,ドクリツ,名詞,102.01
思想,1476,シソウ,名詞,41.9
競争,1477,キョウソウ,名詞,232.25
超,1478,チョウ,接頭辞,66.49
掲げる,1479,カカゲル,動詞,60.11
ネット,1480,ネット,名詞,81.06
敵,1481,テキ,名詞,33.7
観察,1482,カンサツ,名詞,52.83
ガス,1483,ガス,名詞,71.95
十分,1484,ジュウブン,副詞,43.72
工業,1485,コウギョウ,名詞,53.74
度,1486,タビ,名詞,53.74
食,1487,ショク,名詞,64.67
平和,1488,ヘイワ,名詞,80.15
共通,1489,キョウツウ,名詞,60.11
物語,1490,モノガタリ,名詞,53.74
消防,1491,ショウボウ,名詞,112.03
パン,1491,パン,名詞,58.29
旅,1493,タビ,名詞,46.45
抱く,1494,イダク,動詞,43.72
馬,1495,ウマ,名詞,40.99
予防,1496,ヨボウ,名詞,47.36
派遣,1497,ハケン,名詞,105.65
不足,1498,フソク,名詞,71.04
辛い,1499,ツライ,形容詞,52.83
避ける,1500,サケル,動詞,53.74
冬,1501,フユ,名詞,40.08
時点,1502,ジテン,名詞,42.81
素晴らしい,1502,スバラシイ,形容詞,37.34
可笑しい,1504,オカシイ,形容詞,47.36
発行,1505,ハッコウ,名詞,57.38
昨年,1506,サクネン,名詞,275.06
八千,1507,ハッセン,名詞,77.42
字,1508,ジ,名詞,57.38
いらっしゃる,1509,イラッシャル,動詞,27.32
言語,1510,ゲンゴ,名詞,24.59
大変,1511,タイヘン,副詞,23.68
補助,1511,ホジョ,名詞,66.49
満足,1513,マンゾク,名詞,84.7
援助,1514,エンジョ,名詞,65.58
仕方,1515,シカタ,名詞,40.99
完成,1516,カンセイ,名詞,63.76
寒い,1517,サムイ,形容詞,47.36
余り,1518,アマリ,形状詞,51.92
痛い,1519,イタイ,形容詞,42.81
回復,1520,カイフク,名詞,105.65
十,1521,トオ,名詞,74.69
整理,1522,セイリ,名詞,59.2
増,1523,ゾウ,名詞,112.94
地震,1524,ジシン,名詞,70.13
役所,1524,ヤクショ,名詞,22.77
米,1526,ベイ,名詞,239.54
格好,1527,カッコウ,名詞,67.4
伯父,1528,オジ,名詞,23.68
中学,1529,チュウガク,名詞,67.4
生命,1530,セイメイ,名詞,61.93
伸ばす,1531,ノバス,動詞,52.83
勝つ,1532,カツ,動詞,59.2
飛行,1533,ヒコウ,名詞,58.29
椅子,1534,イス,名詞,41.9
纏める,1535,マトメル,動詞,85.62
輸出,1536,ユシュツ,名詞,51.0
ライン,1536,ライン,名詞,79.24
仕様,1538,シヨウ,名詞,97.46
過程,1539,カテイ,名詞,40.99
コース,1540,コース,名詞,55.56
豊か,1541,ユタカ,形状詞,79.24
色んな,1542,イロンナ,連体詞,39.16
失敗,1543,シッパイ,名詞,50.09
通る,1544,トオル,動詞,35.52
弁護,1544,ベンゴ,名詞,92.9
空気,1546,クウキ,名詞,47.36
隣り,1547,トナリ,名詞,37.34
卒業,1548,ソツギョウ,名詞,89.26
議員,1549,ギイン,名詞,91.08
がる,1550,ガル,接尾辞,31.88
保育,1551,ホイク,名詞,91.08
要素,1551,ヨウソ,名詞,48.27
落とす,1553,オトス,動詞,50.09
集中,1554,シュウチュウ,名詞,71.95
赤い,1555,アカイ,形容詞,29.15
資格,1556,シカク,名詞,66.49
収入,1557,シュウニュウ,名詞,76.51
結ぶ,1558,ムスブ,動詞,60.11
宇宙,1559,ウチュウ,名詞,91.99
タバコ,1559,タバコ,名詞,22.77
史,1561,シ,接尾辞,52.83
当然,1561,トウゼン,副詞,38.25
株,1563,カブ,名詞,92.9
債権,1564,サイケン,名詞,78.33
短い,1564,ミジカイ,形容詞,43.72
社員,1566,シャイン,名詞,83.79
カメラ,1567,カメラ,名詞,90.17
涙,1568,ナミダ,名詞,47.36
頷く,1569,ウナズク,動詞,29.15
料金,1570,リョウキン,名詞,72.86
手段,1571,シュダン,名詞,65.58
当てる,1572,アテル,動詞,33.7
姿勢,1572,シセイ,名詞,84.7
テーマ,1574,テーマ,名詞,102.01
魚,1575,サカナ,名詞,51.0
付け,1576,ツケ,接尾辞,27.32
植物,1577,ショクブツ,名詞,30.97
債務,1578,サイム,名詞,65.58
齎す,1579,モタラス,動詞,47.36
薬,1580,クスリ,名詞,41.9
民族,1581,ミンゾク,名詞,45.54
単位,1582,タンイ,名詞,58.29
方式,1583,ホウシキ,名詞,64.67
大体,1584,ダイタイ,名詞,30.97
テーブル,1585,テーブル,名詞,42.81
民主,1585,ミンシュ,名詞,108.39
ベッド,1587,ベッド,名詞,39.16
裏,1588,ウラ,名詞,56.47
息,1589,イキ,名詞,27.32
全員,1590,ゼンイン,名詞,60.11
魅力,1591,ミリョク,名詞,69.22
幸せ,1592,シアワセ,名詞,50.09
七千,1593,ナナセン,名詞,63.76
静か,1594,シズカ,形状詞,45.54
匂い,1594,ニオイ,名詞,47.36
元々,1596,モトモト,副詞,68.31
遅い,1597,オソイ,形容詞,40.99
プロ,1598,プロ,名詞,87.44
故,1599,ユエ,名詞,21.86
逃げる,1600,ニゲル,動詞,49.18
内部,1601,ナイブ,名詞,45.54
約束,1602,ヤクソク,名詞,63.76
長期,1603,チョウキ,名詞,105.65
雰囲気,1604,フンイキ,名詞,65.58
方針,1604,ホウシン,名詞,142.09
生物,1606,セイブツ,名詞,53.74
トップ,1607,トップ,名詞,98.37
理論,1607,リロン,名詞,24.59
適切,1609,テキセツ,形状詞,82.88
九千,1610,キュウセン,名詞,58.29
父,1611,トウ,名詞,78.33
伝統,1612,デントウ,名詞,57.38
世代,1613,セダイ,名詞,87.44
背景,1614,ハイケイ,名詞,91.08
雑誌,1615,ザッシ,名詞,47.36
全然,1616,ゼンゼン,副詞,39.16
服,1617,フク,名詞,51.92
イン,1618,イン,名詞,34.61
眠る,1618,ネムル,動詞,44.63
眺める,1620,ナガメル,動詞,47.36
ＣＤ,1621,シーディー,名詞,59.2
分ける,1622,ワケル,動詞,41.9
取り組む,1623,トリクム,動詞,160.3
再生,1624,サイセイ,名詞,121.14
ボタン,1625,ボタン,名詞,14.57
暮らす,1626,クラス,動詞,71.95
周囲,1627,シュウイ,名詞,53.74
美術,1628,ビジュツ,名詞,52.83
コンピューター,1629,コンピューター,名詞,47.36
命令,1630,メイレイ,名詞,27.32
ぽい,1631,ポイ,接尾辞,48.27
入力,1632,ニュウリョク,名詞,47.36
抜く,1633,ヌク,動詞,58.29
変,1634,ヘン,名詞,52.83
焼く,1634,ヤク,動詞,39.16
仰る,1636,オッシャル,動詞,9.11
隠す,1637,カクス,動詞,43.72
許可,1638,キョカ,名詞,41.9
にて,1639,ニテ,助詞,33.7
部門,1640,ブモン,名詞,75.6
漸く,1641,ヨウヤク,副詞,40.08
案内,1642,アンナイ,名詞,81.06
副,1643,フク,接頭辞,104.74
地下,1644,チカ,名詞,56.47
森,1644,モリ,名詞,45.54
固い,1646,カタイ,形容詞,43.72
あらゆる,1647,アラユル,連体詞,38.25
現象,1648,ゲンショウ,名詞,48.27
側,1649,ソバ,名詞,27.32
編集,1650,ヘンシュウ,名詞,69.22
手術,1651,シュジュツ,名詞,81.06
教,1652,キョウ,接尾辞,40.08
瞬間,1652,シュンカン,名詞,35.52
形,1654,ナリ,接尾辞,34.61
信頼,1655,シンライ,名詞,91.08
掴む,1656,ツカム,動詞,44.63
設ける,1657,モウケル,動詞,65.58
食品,1658,ショクヒン,名詞,55.56
婆,1659,ババ,名詞,36.43
歯,1660,ハ,名詞,25.5
肉,1661,ニク,名詞,41.9
地元,1662,ジモト,名詞,94.72
直接,1663,チョクセツ,名詞,28.23
腹,1663,ハラ,名詞,39.16
法,1663,ホウ,接尾辞,67.4
残念,1666,ザンネン,形状詞,47.36
直す,1667,ナオス,動詞,29.15
扱う,1668,アツカウ,動詞,52.83
幾ら,1668,イクラ,名詞,57.38
舞台,1670,ブタイ,名詞,85.62
近代,1671,キンダイ,名詞,37.34
本,1671,ホン,接頭辞,58.29
追う,1673,オウ,動詞,51.92
保障,1674,ホショウ,名詞,55.56
叫ぶ,1675,サケブ,動詞,44.63
達する,1676,タッスル,動詞,61.02
ええ,1677,エエ,感動詞,19.13
支える,1678,ササエル,動詞,78.33
予約,1678,ヨヤク,名詞,46.45
需要,1680,ジュヨウ,名詞,81.97
前後,1681,ゼンゴ,名詞,68.31
世帯,1682,セタイ,名詞,81.97
文学,1682,ブンガク,名詞,118.4
憲法,1684,ケンポウ,名詞,30.06
自然,1684,シゼン,形状詞,30.97
供給,1686,キョウキュウ,名詞,79.24
付き合う,1686,ツキアウ,動詞,36.43
明確,1688,メイカク,形状詞,81.97
効率,1689,コウリツ,名詞,90.17
防災,1690,ボウサイ,名詞,394.38
水準,1691,スイジュン,名詞,77.42
男女,1691,ダンジョ,名詞,98.37
出版,1693,シュッパン,名詞,60.11
ザ,1694,ザ,名詞,46.45
文書,1694,ブンショ,名詞,61.02
弱い,1696,ヨワイ,形容詞,55.56
推移,1697,スイイ,名詞,118.4
訪れる,1698,オトズレル,動詞,90.17
一層,1699,イッソウ,副詞,61.02
御飯,1699,ゴハン,名詞,49.18
知恵,1701,チエ,名詞,57.38
看護,1702,カンゴ,名詞,22.77
床,1702,ユカ,名詞,30.06
禁止,1704,キンシ,名詞,110.21
勝手,1705,カッテ,名詞,41.9
相互,1706,ソウゴ,名詞,67.4
多様,1706,タヨウ,形状詞,97.46
嘘,1708,ウソ,名詞,32.79
芸術,1709,ゲイジュツ,名詞,55.56
職業,1709,ショクギョウ,名詞,111.12
伸びる,1711,ノビル,動詞,60.11
要因,1712,ヨウイン,名詞,59.2
内閣,1713,ナイカク,名詞,107.47
漸と,1714,ヤット,副詞,41.9
バランス,1715,バランス,名詞,49.18
審査,1716,シンサ,名詞,121.14
オキナワ,1717,オキナワ,名詞,64.67
育てる,1718,ソダテル,動詞,51.92
訪問,1719,ホウモン,名詞,98.37
数字,1720,スウジ,名詞,53.74
企画,1721,キカク,名詞,63.76
否定,1722,ヒテイ,名詞,51.0
塩,1723,シオ,名詞,61.02
生,1724,ナマ,名詞,26.41
食う,1725,クウ,動詞,46.45
像,1725,ゾウ,名詞,47.36
交渉,1727,コウショウ,名詞,115.67
巡る,1727,メグル,動詞,110.21
固定,1729,コテイ,名詞,43.72
島,1730,トウ,接尾辞,70.13
保証,1731,ホショウ,名詞,28.23
怒る,1732,オコル,動詞,41.9
辺,1733,ヘン,名詞,27.32
き,1734,キ,助動詞,16.39
文章,1735,ブンショウ,名詞,47.36
薄い,1736,ウスイ,形容詞,50.09
紙,1736,シ,接尾辞,45.54
髪,1738,カミ,名詞,28.23
日時,1739,ニチジ,名詞,5.46
大統領,1740,ダイトウリョウ,名詞,232.25
向こう,1741,ムコウ,名詞,30.06
郵便,1742,ユウビン,名詞,81.06
利く,1743,キク,動詞,45.54
問う,1744,トウ,動詞,71.95
化学,1745,カガク,名詞,71.95
教師,1746,キョウシ,名詞,52.83
発売,1747,ハツバイ,名詞,132.98
重,1748,ジュウ,名詞,31.88
設計,1748,セッケイ,名詞,76.51
製,1750,セイ,接尾辞,51.0
群,1751,グン,名詞,36.43
統計,1752,トウケイ,名詞,70.13
及ぶ,1753,オヨブ,動詞,57.38
審議,1753,シンギ,名詞,54.65
箱,1755,ハコ,名詞,39.16
ママ,1756,ママ,名詞,31.88
戦後,1757,センゴ,名詞,56.47
連続,1757,レンゾク,名詞,91.08
けれど,1759,ケレド,接続詞,53.74
楽しみ,1760,タノシミ,名詞,54.65
抱える,1761,カカエル,動詞,76.51
太陽,1762,タイヨウ,名詞,41.9
異常,1763,イジョウ,名詞,34.61
大量,1763,タイリョウ,名詞,123.87
城,1765,ジョウ,接尾辞,28.23
提案,1766,テイアン,名詞,65.58
事態,1767,ジタイ,名詞,63.76
保全,1767,ホゼン,名詞,112.94
取り敢えず,1769,トリアエズ,副詞,40.08
ごとし,1770,ゴトシ,助動詞,25.5
相当,1771,ソウトウ,名詞,38.25
戦う,1772,タタカウ,動詞,58.29
まい,1772,マイ,助動詞,30.06
挨拶,1774,アイサツ,名詞,46.45
タイム,1774,タイム,名詞,64.67
執行,1776,シッコウ,名詞,25.5
朝鮮,1776,チョウセン,名詞,77.42
出会う,1776,デアウ,動詞,54.65
装置,1779,ソウチ,名詞,75.6
クラス,1780,クラス,名詞,51.0
条約,1781,ジョウヤク,名詞,121.14
疲れる,1782,ツカレル,動詞,48.27
申す,1782,モウス,動詞,6.38
主要,1784,シュヨウ,形状詞,71.04
鉄道,1785,テツドウ,名詞,61.93
現状,1786,ゲンジョウ,名詞,72.86
望む,1787,ノゾム,動詞,42.81
高度,1788,コウド,形状詞,100.19
遂に,1789,ツイニ,副詞,40.99
疑問,1790,ギモン,名詞,66.49
姉,1791,アネ,名詞,9.11
勤める,1792,ツトメル,動詞,64.67
赤,1793,アカ,名詞,39.16
ネットワーク,1793,ネットワーク,名詞,132.07
メンバー,1795,メンバー,名詞,65.58
暗い,1796,クライ,形容詞,43.72
住所,1797,ジュウショ,名詞,40.99
外,1798,ガイ,接尾辞,52.83
動かす,1799,ウゴカス,動詞,45.54
さっき,1800,サッキ,名詞,35.52
肌,1801,ハダ,名詞,33.7
戦略,1802,センリャク,名詞,62.85
ビル,1803,ビル,名詞,103.83
プログラム,1804,プログラム,名詞,62.85
メニュー,1805,メニュー,名詞,35.52
順,1806,ジュン,名詞,39.16
項目,1807,コウモク,名詞,39.16
勤務,1808,キンム,名詞,48.27
通う,1809,カヨウ,動詞,60.11
うん,1810,ウン,感動詞,48.27
革命,1810,カクメイ,名詞,23.68
削除,1812,サクジョ,名詞,29.15
普段,1813,フダン,名詞,60.11
受け取る,1814,ウケトル,動詞,36.43
自信,1815,ジシン,名詞,55.56
減る,1816,ヘル,動詞,88.35
ガラス,1817,ガラス,名詞,30.97
ホッカイドウ,1818,ホッカイドウ,名詞,74.69
各種,1819,カクシュ,名詞,69.22
旦那,1819,ダンナ,名詞,19.13
受け入れる,1821,ウケイレル,動詞,72.86
セット,1822,セット,名詞,68.31
穴,1823,アナ,名詞,20.95
普及,1824,フキュウ,名詞,126.6
会話,1825,カイワ,名詞,32.79
見付かる,1826,ミツカル,動詞,50.09
熱,1827,ネツ,名詞,41.9
圏,1828,ケン,接尾辞,56.47
観,1829,カン,接尾辞,36.43
低,1829,テイ,接頭辞,59.2
指示,1831,シジ,名詞,55.56
心理,1831,シンリ,名詞,25.5
説,1833,セツ,名詞,22.77
有り,1834,アリ,名詞,41.9
黒い,1835,クロイ,形容詞,32.79
ロシア,1836,ロシア,名詞,69.22
ヤフー,1837,ヤフー,名詞,40.99
防衛,1838,ボウエイ,名詞,52.83
小学,1839,ショウガク,名詞,51.0
我,1840,ワレ,代名詞,18.22
編,1841,ヘン,名詞,41.9
未,1842,ミ,接頭辞,51.92
やや,1843,ヤヤ,副詞,38.25
生かす,1844,イカス,動詞,63.76
危機,1845,キキ,名詞,110.21
如何,1846,イカガ,形状詞,30.06
負ける,1847,マケル,動詞,54.65
どんどん,1848,ドンドン,副詞,51.0
政権,1849,セイケン,名詞,159.39
借りる,1850,カリル,動詞,51.0
両親,1851,リョウシン,名詞,47.36
検索,1852,ケンサク,名詞,33.7
一生,1853,イッショウ,名詞,50.09
諸国,1853,ショコク,名詞,102.01
街,1855,マチ,名詞,66.49
総理,1856,ソウリ,名詞,48.27
が,1857,ガ,接続詞,35.52
当たり,1858,アタリ,接尾辞,65.58
経過,1858,ケイカ,名詞,25.5
スタート,1860,スタート,名詞,63.76
心,1861,シン,接尾辞,36.43
遠い,1862,トオイ,形容詞,42.81
一時,1863,イチジ,名詞,57.38
授業,1864,ジュギョウ,名詞,62.85
達成,1864,タッセイ,名詞,81.06
栄養,1866,エイヨウ,名詞,32.79
緑,1867,ミドリ,名詞,42.81
形式,1868,ケイシキ,名詞,24.59
ニュース,1868,ニュース,名詞,74.69
キー,1870,キー,名詞,36.43
叩く,1871,タタク,動詞,30.97
甘い,1872,アマイ,形容詞,59.2
出身,1873,シュッシン,名詞,74.69
マン,1873,マン,名詞,41.9
自転,1875,ジテン,名詞,55.56
最,1876,サイ,接頭辞,93.81
振興,1877,シンコウ,名詞,41.9
継続,1878,ケイゾク,名詞,71.04
渡す,1878,ワタス,動詞,51.92
話題,1880,ワダイ,名詞,64.67
確実,1881,カクジツ,形状詞,44.63
特殊,1881,トクシュ,形状詞,51.92
同士,1881,ドウシ,接尾辞,50.09
若者,1884,ワカモノ,名詞,98.37
解釈,1885,カイシャク,名詞,20.04
伺う,1886,ウカガウ,動詞,14.57
運用,1887,ウンヨウ,名詞,73.77
空港,1887,クウコウ,名詞,69.22
実態,1889,ジッタイ,名詞,104.74
流石,1890,サスガ,副詞,42.81
しも,1890,シモ,助詞,37.34
左右,1892,サユウ,名詞,44.63
慣れる,1893,ナレル,動詞,41.9
国会,1894,コッカイ,名詞,81.06
葉,1895,ハ,名詞,25.5
石,1896,イシ,名詞,32.79
加入,1897,カニュウ,名詞,31.88
正確,1898,セイカク,名詞,42.81
エンジン,1899,エンジン,名詞,30.06
温泉,1900,オンセン,名詞,33.7
生む,1901,ウム,動詞,68.31
成果,1901,セイカ,名詞,81.06
節,1901,セツ,名詞,64.67
形態,1904,ケイタイ,名詞,36.43
首相,1904,シュショウ,名詞,209.48
被,1904,ヒ,接頭辞,13.66
かしら,1907,カシラ,助詞,24.59
流す,1908,ナガス,動詞,58.29
風,1908,フウ,接尾辞,56.47
州,1910,シュウ,名詞,77.42
賞,1911,ショウ,名詞,82.88
後半,1912,コウハン,名詞,72.86
優れる,1913,スグレル,動詞,59.2
もの,1914,モノ,助詞,32.79
庭,1915,ニワ,名詞,22.77
観点,1916,カンテン,名詞,83.79
広告,1917,コウコク,名詞,52.83
仮,1918,カリ,名詞,43.72
詳細,1918,ショウサイ,名詞,31.88
診断,1918,シンダン,名詞,45.54
スタイル,1921,スタイル,名詞,54.65
ベース,1922,ベース,名詞,50.09
島,1923,シマ,名詞,134.8
捜査,1924,ソウサ,名詞,109.3
初め,1925,ハジメ,名詞,40.08
落ち着く,1926,オチツク,動詞,34.61
汗,1927,アセ,名詞,42.81
楽,1928,ラク,名詞,38.25
沢山,1929,タクサン,形状詞,37.34
さあ,1930,サア,感動詞,18.22
こんな,1931,コンナ,形状詞,31.88
着く,1932,ツク,動詞,48.27
秒,1932,ビョウ,名詞,73.77
コーヒー,1934,コーヒー,名詞,48.27
操作,1935,ソウサ,名詞,63.76
退職,1935,タイショク,名詞,21.86
出発,1937,シュッパツ,名詞,38.25
ソ連,1938,ソレン,名詞,37.34
ドラマ,1939,ドラマ,名詞,112.03
設立,1940,セツリツ,名詞,71.04
本部,1941,ホンブ,名詞,163.94
支払い,1942,シハライ,名詞,35.52
外す,1942,ハズス,動詞,56.47
兆,1944,チョウ,名詞,68.31
ＤＶＤ,1944,ディーブイディー,名詞,41.9
意思,1946,イシ,名詞,38.25
限定,1947,ゲンテイ,名詞,55.56
発言,1947,ハツゲン,名詞,79.24
認定,1949,ニンテイ,名詞,53.74
標準,1950,ヒョウジュン,名詞,80.15
降る,1951,フル,動詞,32.79
少女,1952,ショウジョ,名詞,54.65
証券,1953,ショウケン,名詞,44.63
コスト,1954,コスト,名詞,80.15
毎年,1955,マイトシ,名詞,44.63
水,1956,スイ,名詞,10.93
取り上げる,1957,トリアゲル,動詞,42.81
取り締まり,1958,トリシマリ,名詞,71.04
抜ける,1959,ヌケル,動詞,35.52
以内,1960,イナイ,名詞,46.45
祭り,1960,マツリ,名詞,40.99
質,1962,シツ,接尾辞,20.04
受け付け,1963,ウケツケ,名詞,18.22
活躍,1964,カツヤク,名詞,72.86
納得,1964,ナットク,名詞,40.08
連合,1966,レンゴウ,名詞,71.04
段,1967,ダン,名詞,91.99
わし,1968,ワシ,代名詞,10.93
緊張,1969,キンチョウ,名詞,38.25
証拠,1970,ショウコ,名詞,54.65
接続,1971,セツゾク,名詞,60.11
児,1972,ジ,接尾辞,48.27
びっくり,1972,ビックリ,名詞,40.08
痛み,1974,イタミ,名詞,42.81
遺伝,1975,イデン,名詞,40.99
把握,1976,ハアク,名詞,67.4
温かい,1977,アタタカイ,形容詞,34.61
電車,1978,デンシャ,名詞,48.27
野球,1978,ヤキュウ,名詞,52.83
努める,1980,ツトメル,動詞,86.53
書類,1981,ショルイ,名詞,27.32
悩む,1982,ナヤム,動詞,46.45
初期,1983,ショキ,名詞,24.59
記す,1983,シルス,動詞,27.32
卵,1985,タマゴ,名詞,33.7
感染,1986,カンセン,名詞,26.41
比率,1986,ヒリツ,名詞,94.72
下げる,1988,サゲル,動詞,47.36
すっかり,1989,スッカリ,副詞,29.15
感謝,1990,カンシャ,名詞,68.31
立ち上がる,1991,タチアガル,動詞,25.5
時計,1992,トケイ,名詞,47.36
作家,1993,サッカ,名詞,87.44
一言,1994,ヒトコト,名詞,38.25
合計,1995,ゴウケイ,名詞,67.4
信用,1996,シンヨウ,名詞,42.81
御陰,1997,オカゲ,名詞,36.43
機構,1998,キコウ,名詞,85.62
狭い,1999,セマイ,形容詞,35.52
イタリア,2000,イタリア,名詞,52.83
医者,2001,イシャ,名詞,41.9
紙,2002,カミ,名詞,44.63
シート,2003,シート,名詞,34.61
オーケー,2004,オーケー,名詞,40.08
収める,2005,オサメル,動詞,22.77
リスク,2006,リスク,名詞,32.79
秘密,2007,ヒミツ,名詞,26.41
塵,2008,ゴミ,名詞,36.43
死亡,2009,シボウ,名詞,70.13
じゃ,2009,ジャ,助動詞,16.39
複数,2011,フクスウ,名詞,78.33
背,2012,セ,名詞,18.22
駐車,2013,チュウシャ,名詞,40.08
表面,2014,ヒョウメン,名詞,30.06
大好き,2015,ダイスキ,形状詞,43.72
入院,2015,ニュウイン,名詞,118.4
返事,2017,ヘンジ,名詞,20.95
幅,2018,ハバ,名詞,47.36
集,2019,シュウ,接尾辞,32.79
犯人,2020,ハンニン,名詞,29.15
抵抗,2021,テイコウ,名詞,46.45
青年,2022,セイネン,名詞,26.41
改めて,2023,アラタメテ,副詞,55.56
複雑,2024,フクザツ,名詞,42.81
